Probe	Chromosome	Start	End	Probe Strand	No value	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	21d_egfp	25d_egfp	28d_egfp
Chr5:35000001-36000000	5	35000001	36000000		NaN	null					Not found	0	41.0	80.0	123.0
Chr5:36000001-37000000	5	36000001	37000000		NaN	null					Not found	0	43.0	128.0	109.0
Chr5:37000001-38000000	5	37000001	38000000		NaN	null					Not found	0	44.0	36.0	78.0
Chr5:38000001-39000000	5	38000001	39000000		NaN	null					Not found	0	47.0	91.0	83.0
Chr5:39000001-40000000	5	39000001	40000000		NaN	null					Not found	0	34.0	73.0	102.0
Chr5:40000001-41000000	5	40000001	41000000		NaN	null					Not found	0	27.0	37.0	53.0
Chr5:41000001-42000000	5	41000001	42000000		NaN	null					Not found	0	69.0	45.0	87.0
Chr5:42000001-43000000	5	42000001	43000000		NaN	null					Not found	0	24.0	73.0	98.0
Chr5:43000001-44000000	5	43000001	44000000		NaN	null					Not found	0	27.0	74.0	68.0
Chr5:44000001-45000000	5	44000001	45000000		NaN	null					Not found	0	43.0	66.0	80.0
Chr5:45000001-46000000	5	45000001	46000000		NaN	null					Not found	0	35.0	30.0	99.0
Chr5:46000001-47000000	5	46000001	47000000		NaN	null					Not found	0	30.0	26.0	58.0
Chr5:47000001-48000000	5	47000001	48000000		NaN	null					Not found	0	32.0	53.0	110.0
Chr5:48000001-49000000	5	48000001	49000000		NaN	null					Not found	0	45.0	66.0	81.0
Chr5:49000001-50000000	5	49000001	50000000		NaN	null					Not found	0	36.0	88.0	101.0
Chr5:50000001-51000000	5	50000001	51000000		NaN	null					Not found	0	21.0	48.0	42.0
Chr5:51000001-52000000	5	51000001	52000000		NaN	null					Not found	0	19.0	52.0	37.0
Chr5:52000001-53000000	5	52000001	53000000		NaN	null					Not found	0	14.0	19.0	48.0
Chr5:53000001-54000000	5	53000001	54000000		NaN	null					Not found	0	33.0	48.0	91.0
Chr5:54000001-55000000	5	54000001	55000000		NaN	null					Not found	0	35.0	71.0	79.0
Chr5:55000001-56000000	5	55000001	56000000		NaN	null					Not found	0	25.0	69.0	104.0
Chr5:56000001-57000000	5	56000001	57000000		NaN	null					Not found	0	25.0	23.0	97.0
Chr5:57000001-58000000	5	57000001	58000000		NaN	null					Not found	0	33.0	47.0	103.0
Chr5:58000001-59000000	5	58000001	59000000		NaN	null					Not found	0	30.0	52.0	63.0
Chr5:59000001-60000000	5	59000001	60000000		NaN	null					Not found	0	22.0	34.0	65.0
Chr5:60000001-61000000	5	60000001	61000000		NaN	null					Not found	0	18.0	84.0	88.0
Chr5:61000001-62000000	5	61000001	62000000		NaN	null					Not found	0	32.0	79.0	86.0
Chr5:62000001-63000000	5	62000001	63000000		NaN	null					Not found	0	62.0	70.0	115.0
Chr5:63000001-64000000	5	63000001	64000000		NaN	null					Not found	0	48.0	51.0	136.0
Chr5:64000001-65000000	5	64000001	65000000		NaN	null					Not found	0	27.0	87.0	77.0
Chr5:65000001-66000000	5	65000001	66000000		NaN	null					Not found	0	53.0	56.0	104.0
Chr5:66000001-67000000	5	66000001	67000000		NaN	null					Not found	0	43.0	153.0	161.0
Chr5:67000001-68000000	5	67000001	68000000		NaN	null					Not found	0	49.0	93.0	150.0
Chr5:68000001-69000000	5	68000001	69000000		NaN	null					Not found	0	35.0	108.0	104.0
Chr5:69000001-70000000	5	69000001	70000000		NaN	null					Not found	0	76.0	75.0	83.0
Chr5:70000001-71000000	5	70000001	71000000		NaN	null					Not found	0	60.0	79.0	85.0
Chr5:71000001-71715914	5	71000001	71715914		NaN	null					Not found	0	47.0	92.0	181.0
Chr6:1-1000000	6	1	1000000		NaN	null					Not found	0	48.0	152.0	152.0
Chr6:1000001-2000000	6	1000001	2000000		NaN	null					Not found	0	41.0	95.0	151.0
Chr6:2000001-3000000	6	2000001	3000000		NaN	null					Not found	0	72.0	63.0	108.0
Chr6:3000001-4000000	6	3000001	4000000		NaN	null					Not found	0	45.0	122.0	134.0
Chr6:4000001-5000000	6	4000001	5000000		NaN	null					Not found	0	47.0	116.0	79.0
Chr6:5000001-6000000	6	5000001	6000000		NaN	null					Not found	0	42.0	49.0	84.0
Chr6:6000001-7000000	6	6000001	7000000		NaN	null					Not found	0	64.0	53.0	138.0
Chr6:7000001-8000000	6	7000001	8000000		NaN	null					Not found	0	48.0	59.0	134.0
Chr6:8000001-9000000	6	8000001	9000000		NaN	null					Not found	0	79.0	73.0	71.0
Chr6:9000001-10000000	6	9000001	10000000		NaN	null					Not found	0	57.0	70.0	100.0
Chr6:10000001-11000000	6	10000001	11000000		NaN	null					Not found	0	29.0	64.0	109.0
Chr6:11000001-12000000	6	11000001	12000000		NaN	null					Not found	0	59.0	127.0	164.0
Chr6:12000001-13000000	6	12000001	13000000		NaN	null					Not found	0	68.0	117.0	193.0
Chr6:13000001-14000000	6	13000001	14000000		NaN	null					Not found	0	25.0	57.0	100.0
Chr6:14000001-15000000	6	14000001	15000000		NaN	null					Not found	0	95.0	85.0	138.0
Chr6:15000001-16000000	6	15000001	16000000		NaN	null					Not found	0	48.0	67.0	99.0
Chr6:16000001-17000000	6	16000001	17000000		NaN	null					Not found	0	37.0	27.0	40.0
Chr6:17000001-18000000	6	17000001	18000000		NaN	null					Not found	0	63.0	25.0	82.0
Chr6:18000001-19000000	6	18000001	19000000		NaN	null					Not found	0	91.0	118.0	148.0
Chr6:19000001-20000000	6	19000001	20000000		NaN	null					Not found	0	33.0	64.0	60.0
Chr6:20000001-21000000	6	20000001	21000000		NaN	null					Not found	0	81.0	97.0	101.0
Chr6:21000001-22000000	6	21000001	22000000		NaN	null					Not found	0	32.0	46.0	62.0
Chr6:22000001-23000000	6	22000001	23000000		NaN	null					Not found	0	34.0	98.0	168.0
Chr6:23000001-24000000	6	23000001	24000000		NaN	null					Not found	0	49.0	74.0	133.0
Chr6:24000001-25000000	6	24000001	25000000		NaN	null					Not found	0	32.0	60.0	78.0
Chr6:25000001-26000000	6	25000001	26000000		NaN	null					Not found	0	35.0	29.0	95.0
Chr6:26000001-27000000	6	26000001	27000000		NaN	null					Not found	0	62.0	91.0	87.0
Chr6:27000001-28000000	6	27000001	28000000		NaN	null					Not found	0	20.0	42.0	65.0
Chr6:28000001-29000000	6	28000001	29000000		NaN	null					Not found	0	53.0	88.0	125.0
Chr6:29000001-30000000	6	29000001	30000000		NaN	null					Not found	0	75.0	80.0	73.0
Chr6:30000001-31000000	6	30000001	31000000		NaN	null					Not found	0	22.0	42.0	53.0
Chr6:31000001-32000000	6	31000001	32000000		NaN	null					Not found	0	14.0	51.0	86.0
Chr6:32000001-33000000	6	32000001	33000000		NaN	null					Not found	0	92.0	49.0	68.0
Chr6:33000001-34000000	6	33000001	34000000		NaN	null					Not found	0	18.0	64.0	95.0
Chr6:34000001-35000000	6	34000001	35000000		NaN	null					Not found	0	26.0	35.0	72.0
Chr6:35000001-36000000	6	35000001	36000000		NaN	null					Not found	0	37.0	43.0	72.0
Chr6:36000001-37000000	6	36000001	37000000		NaN	null					Not found	0	30.0	73.0	58.0
Chr6:37000001-38000000	6	37000001	38000000		NaN	null					Not found	0	24.0	78.0	89.0
Chr6:38000001-39000000	6	38000001	39000000		NaN	null					Not found	0	37.0	46.0	143.0
Chr6:39000001-40000000	6	39000001	40000000		NaN	null					Not found	0	44.0	48.0	101.0
Chr6:40000001-41000000	6	40000001	41000000		NaN	null					Not found	0	65.0	71.0	121.0
Chr6:41000001-42000000	6	41000001	42000000		NaN	null					Not found	0	25.0	65.0	58.0
Chr6:42000001-43000000	6	42000001	43000000		NaN	null					Not found	0	34.0	65.0	64.0
Chr6:43000001-44000000	6	43000001	44000000		NaN	null					Not found	0	49.0	69.0	64.0
Chr6:44000001-45000000	6	44000001	45000000		NaN	null					Not found	0	19.0	91.0	52.0
Chr6:45000001-46000000	6	45000001	46000000		NaN	null					Not found	0	30.0	56.0	57.0
Chr6:46000001-47000000	6	46000001	47000000		NaN	null					Not found	0	31.0	66.0	81.0
Chr6:47000001-48000000	6	47000001	48000000		NaN	null					Not found	0	59.0	61.0	69.0
Chr6:48000001-49000000	6	48000001	49000000		NaN	null					Not found	0	24.0	65.0	61.0
Chr6:49000001-50000000	6	49000001	50000000		NaN	null					Not found	0	29.0	75.0	103.0
Chr6:50000001-51000000	6	50000001	51000000		NaN	null					Not found	0	41.0	77.0	98.0
Chr6:51000001-52000000	6	51000001	52000000		NaN	null					Not found	0	54.0	60.0	77.0
Chr6:52000001-53000000	6	52000001	53000000		NaN	null					Not found	0	67.0	72.0	75.0
Chr6:53000001-54000000	6	53000001	54000000		NaN	null					Not found	0	47.0	89.0	94.0
Chr6:54000001-55000000	6	54000001	55000000		NaN	null					Not found	0	48.0	97.0	111.0
Chr6:55000001-56000000	6	55000001	56000000		NaN	null					Not found	0	53.0	54.0	57.0
Chr6:56000001-57000000	6	56000001	57000000		NaN	null					Not found	0	27.0	89.0	85.0
Chr6:57000001-58000000	6	57000001	58000000		NaN	null					Not found	0	42.0	63.0	58.0
Chr6:58000001-59000000	6	58000001	59000000		NaN	null					Not found	0	22.0	78.0	108.0
Chr6:59000001-60000000	6	59000001	60000000		NaN	null					Not found	0	75.0	131.0	191.0
Chr6:60000001-60272633	6	60000001	60272633		NaN	null					Not found	0	31.0	34.0	30.0
Chr7:1-1000000	7	1	1000000		NaN	null					Not found	0	39.0	104.0	102.0
Chr7:1000001-2000000	7	1000001	2000000		NaN	null					Not found	0	58.0	72.0	99.0
Chr7:2000001-3000000	7	2000001	3000000		NaN	null					Not found	0	23.0	23.0	88.0
Chr7:3000001-4000000	7	3000001	4000000		NaN	null					Not found	0	40.0	51.0	57.0
Chr7:4000001-5000000	7	4000001	5000000		NaN	null					Not found	0	26.0	36.0	72.0
Chr7:5000001-6000000	7	5000001	6000000		NaN	null					Not found	0	26.0	89.0	72.0
Chr7:6000001-7000000	7	6000001	7000000		NaN	null					Not found	0	78.0	88.0	125.0
Chr7:7000001-8000000	7	7000001	8000000		NaN	null					Not found	0	67.0	57.0	89.0
Chr7:8000001-9000000	7	8000001	9000000		NaN	null					Not found	0	43.0	147.0	102.0
Chr7:9000001-10000000	7	9000001	10000000		NaN	null					Not found	0	62.0	87.0	90.0
Chr7:10000001-11000000	7	10000001	11000000		NaN	null					Not found	0	52.0	86.0	165.0
Chr7:11000001-12000000	7	11000001	12000000		NaN	null					Not found	0	54.0	68.0	87.0
Chr7:12000001-13000000	7	12000001	13000000		NaN	null					Not found	0	26.0	59.0	77.0
Chr7:13000001-14000000	7	13000001	14000000		NaN	null					Not found	0	41.0	66.0	159.0
Chr7:14000001-15000000	7	14000001	15000000		NaN	null					Not found	0	26.0	45.0	74.0
Chr7:15000001-16000000	7	15000001	16000000		NaN	null					Not found	0	40.0	105.0	51.0
Chr7:16000001-17000000	7	16000001	17000000		NaN	null					Not found	0	40.0	48.0	91.0
Chr7:17000001-18000000	7	17000001	18000000		NaN	null					Not found	0	43.0	40.0	62.0
Chr7:18000001-19000000	7	18000001	19000000		NaN	null					Not found	0	27.0	64.0	55.0
Chr7:19000001-20000000	7	19000001	20000000		NaN	null					Not found	0	31.0	86.0	80.0
Chr7:20000001-21000000	7	20000001	21000000		NaN	null					Not found	0	68.0	75.0	107.0
Chr7:21000001-22000000	7	21000001	22000000		NaN	null					Not found	0	22.0	73.0	72.0
Chr7:22000001-23000000	7	22000001	23000000		NaN	null					Not found	0	49.0	54.0	48.0
Chr7:23000001-24000000	7	23000001	24000000		NaN	null					Not found	0	48.0	91.0	88.0
Chr7:24000001-25000000	7	24000001	25000000		NaN	null					Not found	0	36.0	71.0	65.0
Chr7:25000001-26000000	7	25000001	26000000		NaN	null					Not found	0	24.0	46.0	76.0
Chr7:26000001-27000000	7	26000001	27000000		NaN	null					Not found	0	31.0	54.0	91.0
Chr7:27000001-28000000	7	27000001	28000000		NaN	null					Not found	0	48.0	83.0	80.0
Chr7:28000001-29000000	7	28000001	29000000		NaN	null					Not found	0	78.0	54.0	122.0
Chr7:29000001-30000000	7	29000001	30000000		NaN	null					Not found	0	56.0	61.0	86.0
Chr7:30000001-31000000	7	30000001	31000000		NaN	null					Not found	0	23.0	75.0	108.0
Chr7:31000001-32000000	7	31000001	32000000		NaN	null					Not found	0	74.0	37.0	61.0
Chr7:32000001-33000000	7	32000001	33000000		NaN	null					Not found	0	41.0	41.0	126.0
Chr7:33000001-34000000	7	33000001	34000000		NaN	null					Not found	0	46.0	75.0	110.0
Chr7:34000001-35000000	7	34000001	35000000		NaN	null					Not found	0	120.0	124.0	134.0
Chr7:35000001-36000000	7	35000001	36000000		NaN	null					Not found	0	36.0	58.0	103.0
Chr7:36000001-37000000	7	36000001	37000000		NaN	null					Not found	0	30.0	47.0	79.0
Chr7:37000001-38000000	7	37000001	38000000		NaN	null					Not found	0	42.0	47.0	91.0
Chr7:38000001-39000000	7	38000001	39000000		NaN	null					Not found	0	56.0	111.0	64.0
Chr7:39000001-40000000	7	39000001	40000000		NaN	null					Not found	0	35.0	72.0	75.0
Chr7:40000001-41000000	7	40000001	41000000		NaN	null					Not found	0	67.0	63.0	73.0
Chr7:41000001-42000000	7	41000001	42000000		NaN	null					Not found	0	54.0	69.0	91.0
Chr7:42000001-43000000	7	42000001	43000000		NaN	null					Not found	0	58.0	51.0	75.0
Chr7:43000001-44000000	7	43000001	44000000		NaN	null					Not found	0	31.0	41.0	77.0
Chr7:44000001-45000000	7	44000001	45000000		NaN	null					Not found	0	26.0	59.0	68.0
Chr7:45000001-46000000	7	45000001	46000000		NaN	null					Not found	0	25.0	85.0	77.0
Chr7:46000001-47000000	7	46000001	47000000		NaN	null					Not found	0	42.0	63.0	145.0
Chr7:47000001-48000000	7	47000001	48000000		NaN	null					Not found	0	52.0	42.0	55.0
Chr7:48000001-49000000	7	48000001	49000000		NaN	null					Not found	0	38.0	64.0	92.0
Chr7:49000001-50000000	7	49000001	50000000		NaN	null					Not found	0	42.0	75.0	62.0
Chr7:50000001-51000000	7	50000001	51000000		NaN	null					Not found	0	74.0	52.0	114.0
Chr7:51000001-52000000	7	51000001	52000000		NaN	null					Not found	0	29.0	38.0	90.0
Chr7:52000001-53000000	7	52000001	53000000		NaN	null					Not found	0	88.0	149.0	170.0
Chr7:53000001-54000000	7	53000001	54000000		NaN	null					Not found	0	45.0	58.0	105.0
Chr7:54000001-55000000	7	54000001	55000000		NaN	null					Not found	0	43.0	131.0	80.0
Chr7:55000001-56000000	7	55000001	56000000		NaN	null					Not found	0	49.0	36.0	69.0
Chr7:56000001-57000000	7	56000001	57000000		NaN	null					Not found	0	35.0	55.0	101.0
Chr7:57000001-58000000	7	57000001	58000000		NaN	null					Not found	0	28.0	37.0	70.0
Chr7:58000001-59000000	7	58000001	59000000		NaN	null					Not found	0	61.0	58.0	132.0
Chr7:59000001-60000000	7	59000001	60000000		NaN	null					Not found	0	54.0	78.0	89.0
Chr7:60000001-61000000	7	60000001	61000000		NaN	null					Not found	0	16.0	57.0	78.0
Chr7:61000001-62000000	7	61000001	62000000		NaN	null					Not found	0	37.0	44.0	80.0
Chr7:62000001-63000000	7	62000001	63000000		NaN	null					Not found	0	49.0	41.0	55.0
Chr7:63000001-64000000	7	63000001	64000000		NaN	null					Not found	0	28.0	37.0	81.0
Chr7:64000001-65000000	7	64000001	65000000		NaN	null					Not found	0	34.0	69.0	69.0
Chr7:65000001-66000000	7	65000001	66000000		NaN	null					Not found	0	45.0	61.0	86.0
Chr7:66000001-67000000	7	66000001	67000000		NaN	null					Not found	0	83.0	79.0	106.0
Chr7:67000001-68000000	7	67000001	68000000		NaN	null					Not found	0	40.0	161.0	65.0
Chr7:68000001-69000000	7	68000001	69000000		NaN	null					Not found	0	64.0	88.0	117.0
Chr7:69000001-70000000	7	69000001	70000000		NaN	null					Not found	0	28.0	96.0	106.0
Chr7:70000001-71000000	7	70000001	71000000		NaN	null					Not found	0	51.0	44.0	118.0
Chr7:71000001-72000000	7	71000001	72000000		NaN	null					Not found	0	47.0	67.0	100.0
Chr7:72000001-73000000	7	72000001	73000000		NaN	null					Not found	0	104.0	114.0	121.0
Chr7:73000001-74000000	7	73000001	74000000		NaN	null					Not found	0	70.0	115.0	175.0
Chr7:74000001-74082188	7	74000001	74082188		NaN	null					Not found	0	2.0	14.0	10.0
Chr8:1-1000000	8	1	1000000		NaN	null					Not found	0	49.0	112.0	130.0
Chr8:1000001-2000000	8	1000001	2000000		NaN	null					Not found	0	54.0	92.0	162.0
Chr8:2000001-3000000	8	2000001	3000000		NaN	null					Not found	0	64.0	82.0	55.0
Chr8:3000001-4000000	8	3000001	4000000		NaN	null					Not found	0	39.0	97.0	112.0
Chr8:4000001-5000000	8	4000001	5000000		NaN	null					Not found	0	44.0	71.0	120.0
Chr8:5000001-6000000	8	5000001	6000000		NaN	null					Not found	0	50.0	97.0	80.0
Chr8:6000001-7000000	8	6000001	7000000		NaN	null					Not found	0	33.0	49.0	98.0
Chr8:7000001-8000000	8	7000001	8000000		NaN	null					Not found	0	21.0	47.0	127.0
Chr8:8000001-9000000	8	8000001	9000000		NaN	null					Not found	0	38.0	48.0	93.0
Chr8:9000001-10000000	8	9000001	10000000		NaN	null					Not found	0	47.0	79.0	86.0
Chr8:10000001-11000000	8	10000001	11000000		NaN	null					Not found	0	49.0	76.0	81.0
Chr8:11000001-12000000	8	11000001	12000000		NaN	null					Not found	0	46.0	72.0	56.0
Chr8:12000001-13000000	8	12000001	13000000		NaN	null					Not found	0	79.0	62.0	69.0
Chr8:13000001-14000000	8	13000001	14000000		NaN	null					Not found	0	42.0	31.0	41.0
Chr8:14000001-15000000	8	14000001	15000000		NaN	null					Not found	0	41.0	51.0	69.0
Chr8:15000001-16000000	8	15000001	16000000		NaN	null					Not found	0	45.0	97.0	112.0
Chr8:16000001-17000000	8	16000001	17000000		NaN	null					Not found	0	37.0	65.0	119.0
Chr8:17000001-18000000	8	17000001	18000000		NaN	null					Not found	0	50.0	42.0	104.0
Chr8:18000001-19000000	8	18000001	19000000		NaN	null					Not found	0	30.0	83.0	86.0
Chr8:19000001-20000000	8	19000001	20000000		NaN	null					Not found	0	46.0	72.0	81.0
Chr8:20000001-21000000	8	20000001	21000000		NaN	null					Not found	0	52.0	69.0	122.0
Chr8:21000001-22000000	8	21000001	22000000		NaN	null					Not found	0	26.0	45.0	98.0
Chr8:22000001-23000000	8	22000001	23000000		NaN	null					Not found	0	69.0	58.0	96.0
Chr8:23000001-24000000	8	23000001	24000000		NaN	null					Not found	0	69.0	59.0	60.0
Chr8:24000001-25000000	8	24000001	25000000		NaN	null					Not found	0	21.0	46.0	108.0
Chr8:25000001-26000000	8	25000001	26000000		NaN	null					Not found	0	24.0	39.0	76.0
Chr8:26000001-27000000	8	26000001	27000000		NaN	null					Not found	0	67.0	72.0	128.0
Chr8:27000001-28000000	8	27000001	28000000		NaN	null					Not found	0	27.0	76.0	74.0
Chr8:28000001-29000000	8	28000001	29000000		NaN	null					Not found	0	82.0	107.0	81.0
Chr8:29000001-30000000	8	29000001	30000000		NaN	null					Not found	0	35.0	69.0	72.0
Chr8:30000001-31000000	8	30000001	31000000		NaN	null					Not found	0	51.0	82.0	96.0
Chr8:31000001-32000000	8	31000001	32000000		NaN	null					Not found	0	55.0	39.0	122.0
Chr8:32000001-33000000	8	32000001	33000000		NaN	null					Not found	0	75.0	54.0	88.0
Chr8:33000001-34000000	8	33000001	34000000		NaN	null					Not found	0	23.0	61.0	71.0
Chr8:34000001-35000000	8	34000001	35000000		NaN	null					Not found	0	74.0	73.0	108.0
Chr8:35000001-36000000	8	35000001	36000000		NaN	null					Not found	0	32.0	50.0	130.0
Chr8:36000001-37000000	8	36000001	37000000		NaN	null					Not found	0	18.0	55.0	104.0
Chr8:37000001-38000000	8	37000001	38000000		NaN	null					Not found	0	36.0	61.0	65.0
Chr8:38000001-39000000	8	38000001	39000000		NaN	null					Not found	0	75.0	82.0	123.0
Chr8:39000001-40000000	8	39000001	40000000		NaN	null					Not found	0	92.0	75.0	122.0
Chr8:40000001-41000000	8	40000001	41000000		NaN	null					Not found	0	26.0	70.0	58.0
Chr8:41000001-42000000	8	41000001	42000000		NaN	null					Not found	0	52.0	62.0	127.0
Chr8:42000001-43000000	8	42000001	43000000		NaN	null					Not found	0	15.0	51.0	75.0
Chr8:43000001-44000000	8	43000001	44000000		NaN	null					Not found	0	40.0	44.0	86.0
Chr8:44000001-45000000	8	44000001	45000000		NaN	null					Not found	0	76.0	91.0	115.0
Chr8:45000001-46000000	8	45000001	46000000		NaN	null					Not found	0	28.0	56.0	88.0
Chr8:46000001-47000000	8	46000001	47000000		NaN	null					Not found	0	63.0	95.0	74.0
Chr8:47000001-48000000	8	47000001	48000000		NaN	null					Not found	0	40.0	87.0	99.0
Chr8:48000001-49000000	8	48000001	49000000		NaN	null					Not found	0	46.0	73.0	91.0
Chr8:49000001-50000000	8	49000001	50000000		NaN	null					Not found	0	29.0	63.0	130.0
Chr8:50000001-51000000	8	50000001	51000000		NaN	null					Not found	0	74.0	132.0	162.0
Chr8:51000001-52000000	8	51000001	52000000		NaN	null					Not found	0	99.0	72.0	119.0
Chr8:52000001-53000000	8	52000001	53000000		NaN	null					Not found	0	39.0	99.0	207.0
Chr8:53000001-54000000	8	53000001	54000000		NaN	null					Not found	0	146.0	151.0	165.0
Chr8:54000001-54191831	8	54000001	54191831		NaN	null					Not found	0	82.0	13.0	52.0
Chr9:1-1000000	9	1	1000000		NaN	null					Not found	0	68.0	140.0	116.0
Chr9:1000001-2000000	9	1000001	2000000		NaN	null					Not found	0	71.0	127.0	111.0
Chr9:2000001-3000000	9	2000001	3000000		NaN	null					Not found	0	36.0	92.0	87.0
Chr9:3000001-4000000	9	3000001	4000000		NaN	null					Not found	0	47.0	86.0	124.0
Chr9:4000001-5000000	9	4000001	5000000		NaN	null					Not found	0	50.0	71.0	68.0
Chr9:5000001-6000000	9	5000001	6000000		NaN	null					Not found	0	23.0	69.0	98.0
Chr9:6000001-7000000	9	6000001	7000000		NaN	null					Not found	0	18.0	82.0	120.0
Chr9:7000001-8000000	9	7000001	8000000		NaN	null					Not found	0	30.0	77.0	95.0
Chr9:8000001-9000000	9	8000001	9000000		NaN	null					Not found	0	61.0	54.0	45.0
Chr9:9000001-10000000	9	9000001	10000000		NaN	null					Not found	0	50.0	52.0	61.0
Chr9:10000001-11000000	9	10000001	11000000		NaN	null					Not found	0	38.0	19.0	70.0
Chr9:11000001-12000000	9	11000001	12000000		NaN	null					Not found	0	56.0	36.0	79.0
Chr9:12000001-13000000	9	12000001	13000000		NaN	null					Not found	0	41.0	80.0	71.0
Chr9:13000001-14000000	9	13000001	14000000		NaN	null					Not found	0	57.0	90.0	90.0
Chr9:14000001-15000000	9	14000001	15000000		NaN	null					Not found	0	43.0	66.0	99.0
Chr9:15000001-16000000	9	15000001	16000000		NaN	null					Not found	0	69.0	97.0	148.0
Chr9:16000001-17000000	9	16000001	17000000		NaN	null					Not found	0	36.0	140.0	97.0
Chr9:17000001-18000000	9	17000001	18000000		NaN	null					Not found	0	58.0	91.0	85.0
Chr9:18000001-19000000	9	18000001	19000000		NaN	null					Not found	0	52.0	65.0	184.0
Chr9:19000001-20000000	9	19000001	20000000		NaN	null					Not found	0	17.0	61.0	61.0
Chr9:20000001-21000000	9	20000001	21000000		NaN	null					Not found	0	39.0	64.0	97.0
Chr9:21000001-22000000	9	21000001	22000000		NaN	null					Not found	0	46.0	48.0	130.0
Chr9:22000001-23000000	9	22000001	23000000		NaN	null					Not found	0	38.0	69.0	112.0
Chr9:23000001-24000000	9	23000001	24000000		NaN	null					Not found	0	42.0	53.0	80.0
Chr9:24000001-25000000	9	24000001	25000000		NaN	null					Not found	0	55.0	87.0	58.0
Chr9:25000001-26000000	9	25000001	26000000		NaN	null					Not found	0	58.0	68.0	73.0
Chr9:26000001-27000000	9	26000001	27000000		NaN	null					Not found	0	47.0	61.0	77.0
Chr9:27000001-28000000	9	27000001	28000000		NaN	null					Not found	0	37.0	79.0	65.0
Chr9:28000001-29000000	9	28000001	29000000		NaN	null					Not found	0	41.0	36.0	72.0
Chr9:29000001-30000000	9	29000001	30000000		NaN	null					Not found	0	54.0	63.0	61.0
Chr9:30000001-31000000	9	30000001	31000000		NaN	null					Not found	0	35.0	54.0	86.0
Chr9:31000001-32000000	9	31000001	32000000		NaN	null					Not found	0	37.0	68.0	102.0
Chr9:32000001-33000000	9	32000001	33000000		NaN	null					Not found	0	29.0	94.0	84.0
Chr9:33000001-34000000	9	33000001	34000000		NaN	null					Not found	0	39.0	120.0	93.0
Chr9:34000001-35000000	9	34000001	35000000		NaN	null					Not found	0	62.0	85.0	115.0
Chr9:35000001-36000000	9	35000001	36000000		NaN	null					Not found	0	21.0	66.0	92.0
Chr9:36000001-37000000	9	36000001	37000000		NaN	null					Not found	0	19.0	42.0	58.0
Chr9:37000001-38000000	9	37000001	38000000		NaN	null					Not found	0	56.0	70.0	54.0
Chr9:38000001-39000000	9	38000001	39000000		NaN	null					Not found	0	32.0	62.0	43.0
Chr9:39000001-40000000	9	39000001	40000000		NaN	null					Not found	0	55.0	43.0	71.0
Chr9:40000001-41000000	9	40000001	41000000		NaN	null					Not found	0	29.0	36.0	61.0
Chr9:41000001-42000000	9	41000001	42000000		NaN	null					Not found	0	40.0	66.0	57.0
Chr9:42000001-43000000	9	42000001	43000000		NaN	null					Not found	0	17.0	41.0	63.0
Chr9:43000001-44000000	9	43000001	44000000		NaN	null					Not found	0	38.0	44.0	85.0
Chr9:44000001-45000000	9	44000001	45000000		NaN	null					Not found	0	53.0	88.0	131.0
Chr9:45000001-46000000	9	45000001	46000000		NaN	null					Not found	0	58.0	89.0	119.0
Chr9:46000001-47000000	9	46000001	47000000		NaN	null					Not found	0	47.0	94.0	82.0
Chr9:47000001-48000000	9	47000001	48000000		NaN	null					Not found	0	25.0	69.0	112.0
Chr9:48000001-49000000	9	48000001	49000000		NaN	null					Not found	0	47.0	51.0	104.0
Chr9:49000001-50000000	9	49000001	50000000		NaN	null					Not found	0	35.0	54.0	114.0
Chr9:50000001-51000000	9	50000001	51000000		NaN	null					Not found	0	29.0	62.0	75.0
Chr9:51000001-52000000	9	51000001	52000000		NaN	null					Not found	0	42.0	105.0	85.0
Chr9:52000001-53000000	9	52000001	53000000		NaN	null					Not found	0	34.0	77.0	95.0
Chr9:53000001-54000000	9	53000001	54000000		NaN	null					Not found	0	77.0	127.0	150.0
Chr9:54000001-55000000	9	54000001	55000000		NaN	null					Not found	0	39.0	57.0	112.0
Chr9:55000001-56000000	9	55000001	56000000		NaN	null					Not found	0	61.0	74.0	103.0
Chr9:56000001-56892771	9	56000001	56892771		NaN	null					Not found	0	93.0	138.0	134.0
Chr10:1-1000000	10	1	1000000		NaN	null					Not found	0	107.0	148.0	228.0
Chr10:1000001-2000000	10	1000001	2000000		NaN	null					Not found	0	34.0	57.0	110.0
Chr10:2000001-3000000	10	2000001	3000000		NaN	null					Not found	0	108.0	71.0	102.0
Chr10:3000001-4000000	10	3000001	4000000		NaN	null					Not found	0	41.0	87.0	107.0
Chr10:4000001-5000000	10	4000001	5000000		NaN	null					Not found	0	56.0	89.0	86.0
Chr10:5000001-6000000	10	5000001	6000000		NaN	null					Not found	0	42.0	80.0	107.0
Chr10:6000001-7000000	10	6000001	7000000		NaN	null					Not found	0	47.0	60.0	121.0
Chr10:7000001-8000000	10	7000001	8000000		NaN	null					Not found	0	42.0	53.0	49.0
Chr10:8000001-9000000	10	8000001	9000000		NaN	null					Not found	0	22.0	57.0	98.0
Chr10:9000001-10000000	10	9000001	10000000		NaN	null					Not found	0	51.0	71.0	48.0
Chr10:10000001-11000000	10	10000001	11000000		NaN	null					Not found	0	47.0	72.0	87.0
